/B<7> (Design_Point=1) X,/B<7> (Design_Point=1) Y,/B<6> (Design_Point=1) X,/B<6> (Design_Point=1) Y,/B<5> (Design_Point=1) X,/B<5> (Design_Point=1) Y,/B<4> (Design_Point=1) X,/B<4> (Design_Point=1) Y,/B<3> (Design_Point=1) X,/B<3> (Design_Point=1) Y,/B<2> (Design_Point=1) X,/B<2> (Design_Point=1) Y,/B<1> (Design_Point=1) X,/B<1> (Design_Point=1) Y,/B<0> (Design_Point=1) X,/B<0> (Design_Point=1) Y,/VOUT (Design_Point=1) X,/VOUT (Design_Point=1) Y
2.583883661824405e-08,1.2,2.583883661824405e-08,1.2,2.583883661824405e-08,1.2,2.583883661824405e-08,1.2,2.583883661824405e-08,1.2,2.583883661824405e-08,1.2,2.583883661824405e-08,1.2,2.583883661824405e-08,1.2,2.583883661824405e-08,1.106557719427642
3.394929706426066e-08,1.2,3.394929706426066e-08,1.2,3.394929706426066e-08,1.2,3.394929706426066e-08,1.2,3.394929706426066e-08,1.2,3.394929706426066e-08,1.2,3.394929706426066e-08,1.2,3.394929706426066e-08,1.2,3.394929706426066e-08,1.156401292233154
4.404294430594149e-08,1.2,4.404294430594149e-08,1.2,4.404294430594149e-08,1.2,4.404294430594149e-08,1.2,4.404294430594149e-08,1.2,4.404294430594149e-08,1.2,4.404294430594149e-08,1.2,4.404294430594149e-08,1.2,4.404294430594149e-08,1.184788164111348
5.633517241860495e-08,1.2,5.633517241860495e-08,1.2,5.633517241860495e-08,1.2,5.633517241860495e-08,1.2,5.633517241860495e-08,1.2,5.633517241860495e-08,1.2,5.633517241860495e-08,1.2,5.633517241860495e-08,1.2,5.633517241860495e-08,1.192204454397229
7.421437985251049e-08,1.2,7.421437985251049e-08,1.2,7.421437985251049e-08,1.2,7.421437985251049e-08,1.2,7.421437985251049e-08,1.2,7.421437985251049e-08,1.2,7.421437985251049e-08,1.2,7.421437985251049e-08,1.2,7.421437985251049e-08,1.195428251698782
9.814510782692472e-08,1.2,9.814510782692472e-08,1.2,9.814510782692472e-08,1.2,9.814510782692472e-08,1.2,9.814510782692472e-08,1.2,9.814510782692472e-08,1.2,9.814510782692472e-08,1.2,9.814510782692472e-08,1.2,9.814510782692472e-08,1.194648032205198
1.445516241652703e-07,1.2,1.445516241652703e-07,1.2,1.445516241652703e-07,1.2,1.445516241652703e-07,1.2,1.445516241652703e-07,1.2,1.445516241652703e-07,1.2,1.445516241652703e-07,1.2,1.445516241652703e-07,1.2,1.445516241652703e-07,1.194526453576661
2.217795908761822e-07,1.2,2.217795908761822e-07,1.2,2.217795908761822e-07,1.2,2.217795908761822e-07,1.2,2.217795908761822e-07,1.2,2.217795908761822e-07,1.2,2.217795908761822e-07,1.2,2.217795908761822e-07,1.2,2.217795908761822e-07,1.194804850531613
3.76235524298006e-07,1.2,3.76235524298006e-07,1.2,3.76235524298006e-07,1.2,3.76235524298006e-07,1.2,3.76235524298006e-07,1.2,3.76235524298006e-07,1.2,3.76235524298006e-07,1.2,3.76235524298006e-07,1.2,3.76235524298006e-07,1.194735186029281
6.851473911416536e-07,1.2,6.851473911416536e-07,1.2,6.851473911416536e-07,1.2,6.851473911416536e-07,1.2,6.851473911416536e-07,1.2,6.851473911416536e-07,1.2,6.851473911416536e-07,1.2,6.851473911416536e-07,1.2,6.851473911416536e-07,1.194674327379281
