/IN (Design_Point=1) X,/IN (Design_Point=1) Y,/out (Design_Point=1) X,/out (Design_Point=1) Y,/REF (Design_Point=1) X,/REF (Design_Point=1) Y
2.036633615646717e-06,1.2,2.036633615646717e-06,1.199999904727926,2.036633615646717e-06,0.6
2.042441901104748e-06,1.2,2.042441901104748e-06,1.199999705065154,2.042441901104748e-06,0.6
2.049429137304982e-06,1.2,2.049429137304982e-06,1.199999676283527,2.049429137304982e-06,0.6
2.057357615265884e-06,1.2,2.057357615265884e-06,1.199999676908577,2.057357615265884e-06,0.6
2.066410271414113e-06,1.2,2.066410271414113e-06,1.199999679901638,2.066410271414113e-06,0.6
2.076740232193747e-06,1.2,2.076740232193747e-06,1.199999681424577,2.076740232193747e-06,0.6
2.088652779671627e-06,1.2,2.088652779671627e-06,1.199999681920687,2.088652779671627e-06,0.6
2.102489266328946e-06,1.2,2.102489266328946e-06,1.199999682029427,2.102489266328946e-06,0.6
2.118609359249795e-06,1.2,2.118609359249795e-06,1.199999682051266,2.118609359249795e-06,0.6
2.137413778064328e-06,1.2,2.137413778064328e-06,1.199999682068386,2.137413778064328e-06,0.6
2.159350793870915e-06,1.2,2.159350793870915e-06,1.1999996820853,2.159350793870915e-06,0.6
2.184940552448335e-06,1.2,2.184940552448335e-06,1.199999682097778,2.184940552448335e-06,0.6
2.214796487764781e-06,1.2,2.214796487764781e-06,1.199999682105919,2.214796487764781e-06,0.6
2.249644411041901e-06,1.2,2.249644411041901e-06,1.199999682111205,2.249644411041901e-06,0.6
2.29034284403187e-06,1.2,2.29034284403187e-06,1.199999682114711,2.29034284403187e-06,0.6
2.337904880610123e-06,1.2,2.337904880610123e-06,1.199999682117071,2.337904880610123e-06,0.6
2.387904880610123e-06,1.2,2.387904880610123e-06,1.199999682118543,2.387904880610123e-06,0.6
2.437904880610123e-06,1.2,2.437904880610123e-06,1.19999968211943,2.437904880610123e-06,0.6
2.487904880610123e-06,1.2,2.487904880610123e-06,1.199999682120022,2.487904880610123e-06,0.6
2.537904880610123e-06,1.2,2.537904880610123e-06,1.199999682120459,2.537904880610123e-06,0.6
2.587904880610123e-06,1.2,2.587904880610123e-06,1.199999682120788,2.587904880610123e-06,0.6
2.637904880610123e-06,1.2,2.637904880610123e-06,1.199999682121039,2.637904880610123e-06,0.6
2.687904880610123e-06,1.2,2.687904880610123e-06,1.199999682121234,2.687904880610123e-06,0.6
2.737904880610123e-06,1.2,2.737904880610123e-06,1.199999682121388,2.737904880610123e-06,0.6
2.787904880610123e-06,1.2,2.787904880610123e-06,1.199999682121513,2.787904880610123e-06,0.6
2.837904880610123e-06,1.2,2.837904880610123e-06,1.199999682121615,2.837904880610123e-06,0.6
2.887904880610123e-06,1.2,2.887904880610123e-06,1.199999682121699,2.887904880610123e-06,0.6
2.937904880610123e-06,1.2,2.937904880610123e-06,1.19999968212177,2.937904880610123e-06,0.6
2.987904880610123e-06,1.2,2.987904880610123e-06,1.199999682121831,2.987904880610123e-06,0.6
3.037904880610123e-06,1.2,3.037904880610123e-06,1.199999682121882,3.037904880610123e-06,0.6
3.087904880610123e-06,1.2,3.087904880610123e-06,1.199999682121926,3.087904880610123e-06,0.6
