/PHI_1 (pulse_width=5e-07) X,/PHI_1 (pulse_width=5e-07) Y,/VIN (pulse_width=5e-07) X,/VIN (pulse_width=5e-07) Y,/SH_OUT (pulse_width=5e-07) X,/SH_OUT (pulse_width=5e-07) Y
2.000193997381543e-06,0.2327968578518191,2.000193997381543e-06,0.6003656764265645,2.000193997381543e-06,0.5741080833693987
2.000201514999234e-06,0.2418179990812717,2.000201514999234e-06,0.6003798467993366,2.000201514999234e-06,0.5741208715020252
2.000208013959788e-06,0.2496167517451311,2.000208013959788e-06,0.600392097048839,2.000208013959788e-06,0.5741319229558044
2.000213536926299e-06,0.2562443115594598,2.000213536926299e-06,0.600402507593169,2.000213536926299e-06,0.5741412898121786
2.000218271394723e-06,0.2619256736678273,2.000218271394723e-06,0.600411431853847,2.000218271394723e-06,0.5741493235315666
2.000222336519496e-06,0.2668038233952498,2.000222336519496e-06,0.600419094431685,2.000222336519496e-06,0.5741561991021894
2.000225827964916e-06,0.2709935578997131,2.000225827964916e-06,0.6004256756496245,2.000225827964916e-06,0.5741621128086004
2.000228838015358e-06,0.2746056184298469,2.000228838015358e-06,0.6004313494595906,2.000228838015358e-06,0.5741671913416492
2.000231439403186e-06,0.2777272838229661,2.000231439403186e-06,0.6004362529588416,2.000231439403186e-06,0.5741715908820193
2.000233695111626e-06,0.2804341339509198,2.000233695111626e-06,0.600440504867945,2.000233695111626e-06,0.5741753883200402
2.000235659170427e-06,0.2827910045130784,2.000235659170427e-06,0.6004442070305603,2.000235659170427e-06,0.5741787061469924
2.000237377068706e-06,0.2848524824469308,2.000237377068706e-06,0.6004474451916327,2.000237377068706e-06,0.574181592432505
2.000238887896994e-06,0.2866654763928808,2.000238887896994e-06,0.6004502930350667,2.000238887896994e-06,0.5741841425506459
2.000240225070194e-06,0.2882700842325068,2.000240225070194e-06,0.6004528135464532,2.000240225070194e-06,0.5741863850736098
2.000241417303736e-06,0.2897007644827814,2.000241417303736e-06,0.6004550608530916,2.000241417303736e-06,0.5741883963130512
2.000242489453781e-06,0.2909873445370063,2.000242489453781e-06,0.6004570818077313,2.000242489453781e-06,0.5741901915160003
2.00024346319532e-06,0.2921558343846317,2.00024346319532e-06,0.6004589172667574,2.00024346319532e-06,0.5741918332676058
2.000244357660048e-06,0.2932291920573128,2.000244357660048e-06,0.6004606032925517,2.000244357660048e-06,0.5741933292783983
