/PHI_1 (pulse_width=5e-07) X,/PHI_1 (pulse_width=5e-07) Y,/VIN (pulse_width=5e-07) X,/VIN (pulse_width=5e-07) Y,/SH_OUT (pulse_width=5e-07) X,/SH_OUT (pulse_width=5e-07) Y
2.000002281813908e-06,0.002738176690289908,2.000002281813908e-06,0.7272023071935636,2.000002281813908e-06,0.7445560960980216
2.000002469395607e-06,0.002963274728033486,2.000002469395607e-06,0.7272021461692103,2.000002469395607e-06,0.7445560909660587
2.000002695301301e-06,0.003234361561434454,2.000002695301301e-06,0.7272019522466628,2.000002695301301e-06,0.7445560716196162
2.000002936310471e-06,0.003523572564806236,2.000002936310471e-06,0.7272017453589361,2.000002936310471e-06,0.7445560357854184
2.000003163425831e-06,0.003796110997363023,2.000003163425831e-06,0.7272015503979551,2.000003163425831e-06,0.7445559792933254
2.000003451149947e-06,0.004141379936636283,2.000003451149947e-06,0.7272013034090223,2.000003451149947e-06,0.7445559044296167
2.000003745765513e-06,0.004494918616291122,2.000003745765513e-06,0.7272010505042881,2.000003745765513e-06,0.7445558212250069
2.000004034976702e-06,0.004841972042226011,2.000004034976702e-06,0.7272008022387726,2.000004034976702e-06,0.744555726647378
2.000004424482767e-06,0.005309379320675671,2.000004424482767e-06,0.7272004678777988,2.000004424482767e-06,0.7445556047305905
2.000004896517741e-06,0.005875821289485875,2.000004896517741e-06,0.7272000626720546,2.000004896517741e-06,0.7445554485987158
2.000005335405782e-06,0.006402486938545933,2.000005335405782e-06,0.7271996859203502,2.000005335405782e-06,0.7445553016289296
2.000005819264265e-06,0.006983117118000746,2.000005819264265e-06,0.7271992705649114,2.000005819264265e-06,0.7445551444690447
2.000006360521509e-06,0.007632625811391298,2.000006360521509e-06,0.7271988059369576,2.000006360521509e-06,0.7445549618087991
2.000006982910955e-06,0.008379493146316299,2.000006982910955e-06,0.7271982716631145,2.000006982910955e-06,0.7445547611203107
2.000007834532544e-06,0.009401439052612705,2.000007834532544e-06,0.7271975406107988,2.000007834532544e-06,0.744554481338756
2.000008704235949e-06,0.01044508313916931,2.000008704235949e-06,0.7271967940364156,2.000008704235949e-06,0.7445542036314987
2.000009648252331e-06,0.01157790279766163,2.000009648252331e-06,0.7271959836697471,2.000009648252331e-06,0.7445539027291661
2.00001067816115e-06,0.01281379337963388,2.00001067816115e-06,0.7271950995706409,2.00001067816115e-06,0.744553579765728
2.000011787417278e-06,0.01414490073328852,2.000011787417278e-06,0.7271941473575256,2.000011787417278e-06,0.7445532374825817
2.000013032402455e-06,0.01563888294580686,2.000013032402455e-06,0.7271930786308115,2.000013032402455e-06,0.7445528568564219
2.000014472950379e-06,0.01736754045479361,2.000014472950379e-06,0.7271918420275695,2.000014472950379e-06,0.7445524276423979
2.00001619008644e-06,0.01942810372774123,2.00001619008644e-06,0.7271903679932462,2.00001619008644e-06,0.7445519217762965
2.000018244147265e-06,0.02189297671780334,2.000018244147265e-06,0.7271886047328731,2.000018244147265e-06,0.7445513365032491
2.000020784603899e-06,0.02494152467870868,2.000020784603899e-06,0.7271864239358269,2.000020784603899e-06,0.7445506282049581
2.000024002718827e-06,0.02880326259281445,2.000024002718827e-06,0.7271836614159505,2.000024002718827e-06,0.7445497704456611
2.00002819304123e-06,0.03383164947632678,2.00002819304123e-06,0.7271800643217505,2.00002819304123e-06,0.7445487015725812
2.000033776779533e-06,0.04053213543962118,2.000033776779533e-06,0.7271752710715189,2.000033776779533e-06,0.7445473778846758
2.000041461009869e-06,0.04975321184348783,2.000041461009869e-06,0.7271686746813537,2.000041461009869e-06,0.7445457220985778
2.000051572527573e-06,0.06188703308719195,2.000051572527573e-06,0.7271599946052181,2.000051572527573e-06,0.7445438516238799
2.000065760076773e-06,0.07891209212817178,2.000065760076773e-06,0.7271478154758466,2.000065760076773e-06,0.7445417951330782
2.000082871715151e-06,0.09944605818145334,2.000082871715151e-06,0.7271331261246456,2.000082871715151e-06,0.7445402114129813
2.000107416398922e-06,0.1288996787059406,2.000107416398922e-06,0.7271120557948731,2.000107416398922e-06,0.7445396139968076
